From	To	Species	Gene Name
224845_PM_S_AT	SLAIN2	Homo sapiens	SLAIN motif family member 2(SLAIN2)
204139_PM_X_AT	MZF1	Homo sapiens	myeloid zinc finger 1(MZF1)
235410_PM_AT	NPHP3	Homo sapiens	nephrocystin 3(NPHP3)
240265_PM_AT	TRAF3IP3	Homo sapiens	TRAF3 interacting protein 3(TRAF3IP3)
1553693_PM_S_AT	CBR4	Homo sapiens	carbonyl reductase 4(CBR4)
222233_PM_S_AT	DCLRE1C	Homo sapiens	DNA cross-link repair 1C(DCLRE1C)
40569_PM_AT	MZF1	Homo sapiens	myeloid zinc finger 1(MZF1)
201517_PM_AT	NCBP2	Homo sapiens	nuclear cap binding protein subunit 2(NCBP2)
203481_PM_AT	SLF2	Homo sapiens	SMC5-SMC6 complex localization factor 2(SLF2)
212173_PM_AT	AK2	Homo sapiens	adenylate kinase 2(AK2)
1552302_PM_AT	TMEM106A	Homo sapiens	transmembrane protein 106A(TMEM106A)
1557066_PM_AT	LUC7L	Homo sapiens	LUC7 like(LUC7L)
208534_PM_S_AT	RASA4B	Homo sapiens	RAS p21 protein activator 4B(RASA4B)
238028_PM_AT	C6orf132	Homo sapiens	chromosome 6 open reading frame 132(C6orf132)
238526_PM_AT	RAB3IP	Homo sapiens	RAB3A interacting protein(RAB3IP)
212411_PM_AT	IMP4	Homo sapiens	IMP4 homolog, U3 small nucleolar ribonucleoprotein(IMP4)
1564490_PM_AT	LINC01165	Homo sapiens	long intergenic non-protein coding RNA 1165(LINC01165)
230884_PM_S_AT	LOC101930112	Homo sapiens	uncharacterized LOC101930112(LOC101930112)
1558369_PM_AT	MPHOSPH9	Homo sapiens	M-phase phosphoprotein 9(MPHOSPH9)
206531_PM_AT	dpf1	Homo sapiens	double PHD fingers 1(DPF1)
1554481_PM_A_AT	EPB41	Homo sapiens	erythrocyte membrane protein band 4.1(EPB41)
205565_PM_S_AT	FXN	Homo sapiens	frataxin(FXN)
220946_PM_S_AT	SETD2	Homo sapiens	SET domain containing 2(SETD2)
224247_PM_S_AT	MRPS10	Homo sapiens	mitochondrial ribosomal protein S10(MRPS10)
224524_PM_S_AT	GPR75-ASB3	Homo sapiens	GPR75-ASB3 readthrough(GPR75-ASB3)
227208_PM_AT	CCDC84	Homo sapiens	coiled-coil domain containing 84(CCDC84)
214048_PM_AT	MBD4	Homo sapiens	methyl-CpG binding domain 4, DNA glycosylase(MBD4)
201876_PM_AT	PON2	Homo sapiens	paraoxonase 2(PON2)
229231_PM_AT	LRRC37B	Homo sapiens	leucine rich repeat containing 37B(LRRC37B)
217527_PM_S_AT	NFATC2IP	Homo sapiens	nuclear factor of activated T-cells 2 interacting protein(NFATC2IP)
216111_PM_X_AT	PMS2P3	Homo sapiens	PMS1 homolog 2, mismatch repair system component pseudogene 3(PMS2P3)
236240_PM_AT	ABHD18	Homo sapiens	abhydrolase domain containing 18(ABHD18)
210802_PM_S_AT	DIMT1	Homo sapiens	DIM1 dimethyladenosine transferase 1 homolog(DIMT1)
232196_PM_AT	LCA5L	Homo sapiens	LCA5L, lebercilin like(LCA5L)
242518_PM_AT	RAD51-AS1	Homo sapiens	RAD51 antisense RNA 1 (head to head)(RAD51-AS1)
219218_PM_AT	BAHCC1	Homo sapiens	BAH domain and coiled-coil containing 1(BAHCC1)
229028_PM_S_AT	ARL17B	Homo sapiens	ADP ribosylation factor like GTPase 17B(ARL17B)
226848_PM_AT	MRPS25	Homo sapiens	mitochondrial ribosomal protein S25(MRPS25)
221677_PM_S_AT	DONSON	Homo sapiens	downstream neighbor of SON(DONSON)
228795_PM_AT	PRKCB	Homo sapiens	protein kinase C beta(PRKCB)
214364_PM_AT	MTERF4	Homo sapiens	mitochondrial transcription termination factor 4(MTERF4)
213773_PM_X_AT	NSUN5	Homo sapiens	NOP2/Sun RNA methyltransferase family member 5(NSUN5)
220537_PM_AT	ASB12	Homo sapiens	ankyrin repeat and SOCS box containing 12(ASB12)
221692_PM_S_AT	MRPL34	Homo sapiens	mitochondrial ribosomal protein L34(MRPL34)
211707_PM_S_AT	IQCB1	Homo sapiens	IQ motif containing B1(IQCB1)
237475_PM_X_AT	Ccdc152	Homo sapiens	coiled-coil domain containing 152(CCDC152)
222907_PM_X_AT	TMEM50B	Homo sapiens	transmembrane protein 50B(TMEM50B)
1564160_PM_AT	DTHD1	Homo sapiens	death domain containing 1(DTHD1)
220704_PM_AT	IKZF1	Homo sapiens	IKAROS family zinc finger 1(IKZF1)
236953_PM_S_AT	NHLRC3	Homo sapiens	NHL repeat containing 3(NHLRC3)
218749_PM_S_AT	SLC8B1	Homo sapiens	solute carrier family 8 member B1(SLC8B1)
215277_PM_AT	PCDH1	Homo sapiens	protocadherin 1(PCDH1)
214092_PM_X_AT	SUGP2	Homo sapiens	SURP and G-patch domain containing 2(SUGP2)
210621_PM_S_AT	RASA1	Homo sapiens	RAS p21 protein activator 1(RASA1)
1554078_PM_S_AT	DNAJA3	Homo sapiens	DnaJ heat shock protein family (Hsp40) member A3(DNAJA3)
222762_PM_X_AT	LIMD1	Homo sapiens	LIM domains containing 1(LIMD1)
223647_PM_X_AT	HSCB	Homo sapiens	HscB mitochondrial iron-sulfur cluster cochaperone(HSCB)
1553185_PM_AT	RASEF	Homo sapiens	RAS and EF-hand domain containing(RASEF)
201977_PM_S_AT	KIAA0141	Homo sapiens	KIAA0141(KIAA0141)
223236_PM_AT	NSRP1	Homo sapiens	nuclear speckle splicing regulatory protein 1(NSRP1)
235547_PM_AT	N4BP2L2	Homo sapiens	NEDD4 binding protein 2 like 2(N4BP2L2)
